mh_2;mh_1;d;err;phhinit;md_0;md_1;pdhinit;time;phh1;pdh0;vh_1;pdh1;vd_1;vd_0;rdd;rhd;rhh;vh_2;f_0;phh2;f_1;file
1;1;0.1;0;0.5;1;1;0.5;0;0.5;0.5;1;0.5;1;1;0.509438;0.509433;0.509429;1;0.24999;0.5;0.499999;./core_0/iter_freqdep_10_12_2016_153504_464797699
1;1;0.1;0.02;0.5;1;1;0.5;0;0.5;0.5;1;0.5;1;1;0.509438;0.509433;0.509429;1;0.24999;0.5;0.499999;./core_0/iter_freqdep_10_12_2016_153505_473468718
1;1;0.5;0;0.5;1;1;0.5;0;0.5;0.5;1;0.5;1;1;0.230771;0.230769;0.230767;1;0.24999;0.5;0.499999;./core_1/iter_freqdep_10_12_2016_153504_470295980
1;1;0.5;0.02;0.5;1;1;0.5;0;0.5;0.5;1;0.5;1;1;0.230771;0.230769;0.230767;1;0.24999;0.5;0.499999;./core_1/iter_freqdep_10_12_2016_153505_980530354
1;1;1;0;0.5;1;1;0.5;0;0.5;0.5;1;0.5;1;1;0;0;0;1;0.24999;0.5;0.499999;./core_2/iter_freqdep_10_12_2016_153504_469236677
1;1;1;0.02;0.5;1;1;0.5;0;0.5;0.5;1;0.5;1;1;0;0;0;1;0.24999;0.5;0.499999;./core_2/iter_freqdep_10_12_2016_153506_351612369
1.025;1;0.1;0;0.5;1;1;0.5;852685;9.10451e-06;0.0186669;1.00052;8.65955e-05;1.00053;1.00053;0.299292;0.479574;0.0528297;0.999066;0.964022;0.178945;0.0359391;./core_3/iter_freqdep_10_12_2016_153504_431987798
1.025;1;0.1;0.02;0.5;1;1;0.5;805197;5.96005e-06;0.0113482;1.00053;4.84833e-05;1.00054;1.00054;0.296123;0.478924;0.310627;0.999084;0.976449;0.17267;0.0235237;./core_3/iter_freqdep_10_12_2016_153508_989850232
1.025;1;0.5;0;0.5;1;1;0.5;32970;0.136915;0.000985529;1.00175;0.202403;1.00245;1.00276;0.143078;0.218119;0.509027;0.995094;0.997148;0.257026;0.00272132;./core_4/iter_freqdep_10_12_2016_153504_465828077
1.025;1;0.5;0.02;0.5;1;1;0.5;714234;0.0325625;0.0001;1.00238;0.121732;1.00261;1.00276;0.143221;0.22793;0.380419;0.995642;0.995647;0.220738;0.00425952;./core_4/iter_freqdep_10_12_2016_153506_539873870
1.025;1;1;0;0.5;1;1;0.5;18390;0.277906;0.000998397;1.00485;0.277906;1.00489;1.00491;0;0;0;0.992586;0.995508;0.36954;0.00448699;./core_5/iter_freqdep_10_12_2016_153502_214023661
