c;pinit;d;v;time;vh_1;vd_1;p;vd_0;rdd;rhd;rhh;f_1;f_0;vh_2;file
0.01;0.33;0.1;0.01;103319;1.00356;0.997085;0.998518;1.0004;1.96808e-06;0.00253414;0.814009;0.00297031;2.20118e-06;0.999999;./core_0/iter_freqdep_16_9_2016_162606_50209534
0.01;0.33;0.5;0.01;122950;1.0043;0.998555;0.997465;1.0016;3.18881e-06;0.00209766;0.33165;0.00506619;6.41694e-06;0.999993;./core_0/iter_freqdep_16_9_2016_162608_68095954
0.01;0.33;1;0.01;110048;1.00502;0.999985;0.998018;1.0025;-0;-0;-0;0.00396711;3.93038e-06;0.99999;./core_0/iter_freqdep_16_9_2016_162610_377172174
0.03;0.33;0.1;0.01;132187;1.00346;0.997255;0.624874;1.00063;0.139946;0.435846;0.3377;0.470972;0.140663;0.999337;./core_0/iter_freqdep_16_9_2016_162612_449121611
0.03;0.33;0.5;0.01;50624;1.00324;0.99757;0.356312;1.00063;0.165337;0.202329;0.0613366;0.460249;0.413624;0.996455;./core_0/iter_freqdep_16_9_2016_162614_610662303
0.03;0.33;1;0.01;36807;1.00336;0.998327;0.337325;1.00084;-0;-0;-0;0.448574;0.438382;0.993405;./core_0/iter_freqdep_16_9_2016_162615_550889907
0.05;0.33;0.1;0.01;93027;1.00321;0.997017;0.38655;1.0004;0.324693;0.441941;0.149556;0.476559;0.376234;0.998604;./core_0/iter_freqdep_16_9_2016_162616_239626600
0.05;0.33;0.5;0.01;38175;1.00298;0.997317;0.21569;1.00038;0.222146;0.146857;0.0235859;0.339703;0.614501;0.99379;./core_0/iter_freqdep_16_9_2016_162617_825627358
0.05;0.33;1;0.01;26737;1.00302;0.997991;0.204397;1.0005;-0;-0;-0;0.326551;0.632323;0.988241;./core_0/iter_freqdep_16_9_2016_162618_606871620
0.07;0.33;0.1;0.01;87364;1.0031;0.996899;0.276144;1.00028;0.417479;0.364776;0.0784007;0.401734;0.523867;0.99802;./core_0/iter_freqdep_16_9_2016_162619_181584102
0.07;0.33;0.5;0.01;29957;1.00288;0.997207;0.155245;1.00027;0.248335;0.112716;0.0123273;0.263425;0.713073;0.991318;./core_1/iter_freqdep_16_9_2016_160317_605746829
0.07;0.33;1;0.01;20747;1.00288;0.997847;0.147427;1.00036;-0;-0;-0;0.252475;0.726331;0.983363;./core_1/iter_freqdep_16_9_2016_160318_457221741
0.09;0.33;0.1;0.01;78278;1.00305;0.996829;0.212307;1.00021;0.476342;0.300073;0.0462742;0.336104;0.620342;0.997503;./core_1/iter_freqdep_16_9_2016_160319_77415686
0.09;0.33;0.5;0.01;24745;1.00282;0.997147;0.121671;1.00021;0.263827;0.0912842;0.00758252;0.214697;0.771003;0.988939;./core_1/iter_freqdep_16_9_2016_160321_80866438
0.09;0.33;1;0.01;17039;1.0028;0.997767;0.115777;1.00028;-0;-0;-0;0.205669;0.781384;0.978639;./core_1/iter_freqdep_16_9_2016_160321_808245325
0.11;0.33;0.1;0.01;70506;1.00302;0.996785;0.170782;1.00016;0.519349;0.251097;0.0296853;0.284618;0.687467;0.997023;./core_1/iter_freqdep_16_9_2016_160322_322416998
0.11;0.33;0.5;0.01;21174;1.00279;0.997109;0.100333;1.00017;0.274172;0.0767876;0.00515361;0.181367;0.809001;0.986626;./core_1/iter_freqdep_16_9_2016_160324_171217169
