mh_2;mh_1;d;err;phhinit;md_0;md_1;pdhinit;time;vh_1;vd_1;vd_0;rdd;pdh;rhd;rhh;f_1;f_0;phh;vh_2;file
1.275;0.75;1;0.02;0.6;0.875;1;0.1;1602;1.09032;0.942933;1.01331;0;0.224159;0;0;0.524441;0.339334;0.65938;0.855766;iters//iter_freqdep_18_8_2017_214737_630775478
1.275;0.75;0.5;0.02;0.7;0.875;1;0.2;11590;1.08202;0.938044;1.0187;0.132996;0.999044;0.342363;0.130125;0.644817;0.183905;0.0001;0.936741;iters//iter_freqdep_18_8_2017_214754_348580284
1.275;0.75;0.1;0.02;0.6;0.875;1;0.6;119166;1.07634;0.932294;1.00715;0.541153;0.999944;0.629985;0.540034;0.695786;0.157155;0.00640419;0.990671;iters//iter_freqdep_18_8_2017_214840_118641087
1.275;0.75;0.5;0.02;0.4;0.875;1;0.2;10320;1.07309;0.930303;1.01029;0.132995;0.999047;0.342363;0.130125;0.644817;0.183904;0.0001;0.929009;iters//iter_freqdep_18_8_2017_214750_858616298
1.275;0.75;0.5;0.02;0.2;0.875;1;0.4;8682;1.07476;0.931749;1.01186;0.132998;0.999038;0.342362;0.130125;0.644816;0.183907;0.0001;0.930454;iters//iter_freqdep_18_8_2017_214815_16148973
1.275;0.75;0.5;0.02;0.9;0.875;1;0.4;10582;1.15525;1.00153;1.08764;0.132997;0.99904;0.342362;0.130125;0.644817;0.183907;0.0001;1.00014;iters//iter_freqdep_18_8_2017_214822_332630295
1.275;0.75;0.1;0.02;0.5;0.875;1;0.99;114023;1.07744;0.933247;1.00818;0.541153;0.999944;0.629984;0.540034;0.695785;0.157155;0.00640743;0.991683;iters//iter_freqdep_18_8_2017_214919_399957667
1.275;0.75;0.5;0.02;0.3;0.875;1;0.7;7072;1.08572;0.941257;1.02219;0.132998;0.999035;0.342362;0.130125;0.644816;0.183908;0.0001;0.939949;iters//iter_freqdep_18_8_2017_214848_575010463
1.275;0.75;0.5;0.02;0.2;0.875;1;0.5;8174;1.07704;0.933725;1.01401;0.132997;0.999039;0.342363;0.130125;0.644817;0.183907;0.0001;0.932427;iters//iter_freqdep_18_8_2017_214826_291598251
1.275;0.75;1;0.02;0.5;0.875;1;0.01;2226;1.11804;0.966907;1.03907;0;0.270315;0;0;0.524439;0.339341;0.590274;0.877523;iters//iter_freqdep_18_8_2017_214722_114178333
1.275;0.75;0.5;0.02;0.6;0.875;1;0.3;10807;1.08333;0.939178;1.01993;0.133001;0.999027;0.342362;0.130124;0.644816;0.18391;0.0001;0.937873;iters//iter_freqdep_18_8_2017_214807_420257770
1.275;0.75;0.1;0.02;0.9;0.875;1;0.1;126284;1.07559;0.931641;1.00644;0.541153;0.999944;0.629984;0.540034;0.695785;0.157155;0.00640785;0.989977;iters//iter_freqdep_18_8_2017_214740_193492196
1.275;0.75;0.5;0.02;0.6;0.875;1;0.99;4206;1.11303;0.964927;1.04789;0.132998;0.999036;0.342362;0.130125;0.644816;0.183908;0.0001;0.963586;iters//iter_freqdep_18_8_2017_214921_49836347
1.275;0.75;0.1;0.02;0.9;0.875;1;0.99;118369;1.09013;0.944243;1.02006;0.541156;0.999944;0.629988;0.540033;0.695788;0.15716;0.00637791;1.00337;iters//iter_freqdep_18_8_2017_214923_282492352
1.275;0.75;0.5;0.02;0.7;0.875;1;0.4;10588;1.09989;0.953535;1.03552;0.132997;0.999039;0.342362;0.130125;0.644817;0.183907;0.0001;0.95221;iters//iter_freqdep_18_8_2017_214819_975045686
1.275;0.75;0.5;0.02;0.8;0.875;1;0.8;7813;1.13752;0.986165;1.07096;0.132995;0.999047;0.342363;0.130125;0.644817;0.183905;0.0001;0.984794;iters//iter_freqdep_18_8_2017_214903_742261962
1.275;0.75;0.1;0.02;0.99;0.875;1;0.8;118721;1.09918;0.952077;1.02852;0.541157;0.999945;0.629989;0.540032;0.695789;0.157162;0.00636561;1.01169;iters//iter_freqdep_18_8_2017_214905_127369883
1.275;0.75;0.1;0.02;0.3;0.875;1;0.4;113834;1.07165;0.928234;1.00276;0.541152;0.999944;0.629983;0.540034;0.695784;0.157153;0.00641831;0.986356;iters//iter_freqdep_18_8_2017_214815_193456666
1.275;0.75;0.1;0.02;0.01;0.875;1;0.1;94322;1.07155;0.928145;1.00267;0.541152;0.999944;0.629984;0.540034;0.695785;0.157154;0.00641301;0.986263;iters//iter_freqdep_18_8_2017_214729_419026076
1.275;0.75;0.5;0.02;0.1;0.875;1;0.6;7202;1.07734;0.933986;1.01429;0.132999;0.999033;0.342362;0.130125;0.644816;0.183908;0.0001;0.932688;iters//iter_freqdep_18_8_2017_214836_413499952
1.275;0.75;1;0.02;0.3;0.875;1;0.3;4426;1.08795;0.940886;1.01111;0;0.419709;0;0;0.524432;0.339358;0.366583;0.853906;iters//iter_freqdep_18_8_2017_214804_212800135
1.275;0.75;0.1;0.02;0.6;0.875;1;0.2;123250;1.07079;0.927484;1.00195;0.541152;0.999944;0.629983;0.540034;0.695785;0.157153;0.00641619;0.98556;iters//iter_freqdep_18_8_2017_214752_299608094
1.275;0.75;0.1;0.02;0.3;0.875;1;0.01;116915;1.0718;0.928362;1.0029;0.541152;0.999944;0.629983;0.540034;0.695785;0.157153;0.00641757;0.986493;iters//iter_freqdep_18_8_2017_214718_327411597
1.275;0.75;1;0.02;0.99;0.875;1;0.3;740;1.45363;1.25717;1.351;0;0.151472;0;0;0.524436;0.339353;0.76813;1.14092;iters//iter_freqdep_18_8_2017_214812_343656432
1.275;0.75;0.1;0.02;0.3;0.875;1;0.7;109344;1.07353;0.929864;1.00452;0.541152;0.999944;0.629984;0.540034;0.695785;0.157154;0.00641185;0.988089;iters//iter_freqdep_18_8_2017_214847_862043628
1.275;0.75;0.5;0.02;0.3;0.875;1;0.99;1987;1.09271;0.947311;1.02876;0.132996;0.999043;0.342363;0.130125;0.644817;0.183906;0.0001;0.945994;iters//iter_freqdep_18_8_2017_214918_401605652
1.275;0.75;0.5;0.02;0.5;0.875;1;0.8;6902;1.09921;0.952949;1.03488;0.132997;0.99904;0.342363;0.130125;0.644817;0.183906;0.0001;0.951624;iters//iter_freqdep_18_8_2017_214900_734953143
1.275;0.75;0.1;0.02;0.5;0.875;1;0.6;117371;1.07464;0.930823;1.00556;0.541153;0.999944;0.629984;0.540034;0.695785;0.157154;0.0064086;0.989108;iters//iter_freqdep_18_8_2017_214839_156594360
1.275;0.75;0.1;0.02;0.3;0.875;1;0.1;116696;1.0708;0.927497;1.00197;0.541152;0.999944;0.629983;0.540034;0.695785;0.157153;0.00641421;0.985574;iters//iter_freqdep_18_8_2017_214732_872136831
1.275;0.75;0.5;0.02;0.3;0.875;1;0.3;9518;1.07397;0.931068;1.01112;0.133;0.999028;0.342362;0.130124;0.644816;0.18391;0.0001;0.929774;iters//iter_freqdep_18_8_2017_214804_50436732
1.275;0.75;0.1;0.02;0.6;0.875;1;0.99;116082;1.07919;0.934766;1.00982;0.541154;0.999944;0.629985;0.540033;0.695786;0.157156;0.00639884;0.993298;iters//iter_freqdep_18_8_2017_214920_299815652
1.275;0.75;1;0.02;0.5;0.875;1;0.9;8295;1.14526;0.990474;1.0644;0;0.565032;0;0;0.524454;0.339307;0.149122;0.898884;iters//iter_freqdep_18_8_2017_214910_609219230
1.275;0.75;1;0.02;0.8;0.875;1;0.01;458;1.15413;0.998116;1.07261;0;0.104476;0;0;0.524446;0.339322;0.838558;0.905848;iters//iter_freqdep_18_8_2017_214726_246288939
1.275;0.75;0.1;0.02;0.2;0.875;1;0.2;111379;1.07088;0.927561;1.00204;0.541152;0.999944;0.629983;0.540034;0.695784;0.157153;0.00641823;0.985642;iters//iter_freqdep_18_8_2017_214747_780084015
1.275;0.75;1;0.02;0.6;0.875;1;0.3;1854;1.10169;0.952801;1.02391;0;0.275383;0;0;0.524439;0.339345;0.582633;0.86469;iters//iter_freqdep_18_8_2017_214807_564439370
1.275;0.75;0.5;0.02;0.9;0.875;1;0.2;11753;1.12911;0.978873;1.06304;0.132999;0.999034;0.342362;0.130125;0.644816;0.183908;0.0001;0.977512;iters//iter_freqdep_18_8_2017_214756_627030380
1.275;0.75;0.1;0.02;0.5;0.875;1;0.5;118551;1.07369;0.929995;1.00467;0.541152;0.999944;0.629983;0.540034;0.695785;0.157154;0.00641331;0.988228;iters//iter_freqdep_18_8_2017_214828_286506090
1.275;0.75;0.1;0.02;0.99;0.875;1;0.1;122870;1.11619;0.966816;1.04444;0.541161;0.999945;0.629993;0.54003;0.695792;0.157168;0.00633033;1.02735;iters//iter_freqdep_18_8_2017_214741_457360662
1.275;0.75;0.1;0.02;0.01;0.875;1;0.6;74223;1.07194;0.928481;1.00303;0.541152;0.999944;0.629983;0.540034;0.695785;0.157153;0.00641487;0.986619;iters//iter_freqdep_18_8_2017_214835_91736693
1.275;0.75;0.1;0.02;0.8;0.875;1;0.6;120955;1.08306;0.938111;1.01343;0.541155;0.999944;0.629986;0.540033;0.695787;0.157158;0.00639037;0.996853;iters//iter_freqdep_18_8_2017_214842_182057100
1.275;0.75;0.5;0.02;0.4;0.875;1;0.5;9005;1.08324;0.939107;1.01985;0.132996;0.999043;0.342363;0.130125;0.644817;0.183906;0.0001;0.937802;iters//iter_freqdep_18_8_2017_214828_129903292
1.275;0.75;1;0.02;0.2;0.875;1;0.4;5604;1.09031;0.94293;1.01331;0;0.493929;0;0;0.524428;0.339368;0.255435;0.85576;iters//iter_freqdep_18_8_2017_214815_141897022
1.275;0.75;0.5;0.02;0.4;0.875;1;0.6;8350;1.08686;0.942244;1.02326;0.132996;0.999045;0.342363;0.130125;0.644817;0.183905;0.0001;0.940934;iters//iter_freqdep_18_8_2017_214838_979309531
1.275;0.75;1;0.02;0.9;0.875;1;0.5;2219;1.23932;1.07183;1.15183;0;0.270151;0;0;0.52444;0.339344;0.590467;0.972714;iters//iter_freqdep_18_8_2017_214833_722770456
1.275;0.75;1;0.02;0.1;0.875;1;0.4;6924;1.08809;0.941012;1.01124;0;0.543808;0;0;0.524425;0.339376;0.180729;0.854018;iters//iter_freqdep_18_8_2017_214814_147225455
1.275;0.75;1;0.02;0.3;0.875;1;0.8;8424;1.11908;0.967833;1.04007;0;0.586891;0;0;0.524456;0.339303;0.116415;0.878336;iters//iter_freqdep_18_8_2017_214859_24841957
1.275;0.75;1;0.02;0.7;0.875;1;0.4;2263;1.12999;0.977274;1.05021;0;0.273339;0;0;0.52444;0.339345;0.585693;0.8869;iters//iter_freqdep_18_8_2017_214820_146456685
1.275;0.75;0.5;0.02;0.4;0.875;1;0.3;9978;1.07563;0.932508;1.01269;0.132996;0.999044;0.342363;0.130125;0.644817;0.183905;0.0001;0.931212;iters//iter_freqdep_18_8_2017_214805_172456115
1.275;0.75;0.5;0.02;0.7;0.875;1;0.8;7625;1.11988;0.970869;1.05434;0.132995;0.999048;0.342363;0.130125;0.644817;0.183904;0.0001;0.969519;iters//iter_freqdep_18_8_2017_214902_690143095
1.275;0.75;0.5;0.02;0.7;0.875;1;0.1;11956;1.07421;0.931279;1.01135;0.132998;0.999037;0.342362;0.130125;0.644816;0.183907;0.0001;0.929985;iters//iter_freqdep_18_8_2017_214738_671224375
1.275;0.75;0.5;0.02;0.01;0.875;1;0.01;9026;1.07702;0.93371;1.01399;0.133001;0.999026;0.342362;0.130124;0.644815;0.18391;0.0001;0.932412;iters//iter_freqdep_18_8_2017_214715_579072950
1.275;0.75;1;0.02;0.5;0.875;1;0.8;7056;1.13833;0.98448;1.05796;0;0.518138;0;0;0.524451;0.339315;0.219295;0.893443;iters//iter_freqdep_18_8_2017_214900_839335315
1.275;0.75;1;0.02;0.8;0.875;1;0.99;7790;1.21695;1.05247;1.13102;0;0.547515;0;0;0.524452;0.339312;0.17533;0.955149;iters//iter_freqdep_18_8_2017_214923_163608770
1.275;0.75;0.1;0.02;0.4;0.875;1;0.2;119204;1.07058;0.927303;1.00176;0.541152;0.999944;0.629983;0.540034;0.695784;0.157153;0.00641905;0.985367;iters//iter_freqdep_18_8_2017_214749_995750469
1.275;0.75;1;0.02;0.4;0.875;1;0.7;6552;1.12041;0.968981;1.0413;0;0.508418;0;0;0.524451;0.339316;0.233842;0.879377;iters//iter_freqdep_18_8_2017_214849_617222082
1.275;0.75;0.1;0.02;0.2;0.875;1;0.7;102996;1.07298;0.929383;1.004;0.541153;0.999944;0.629984;0.540034;0.695785;0.157154;0.00640974;0.987578;iters//iter_freqdep_18_8_2017_214847_10955449
1.275;0.75;0.1;0.02;0.8;0.875;1;0.4;123136;1.0803;0.935723;1.01085;0.541154;0.999944;0.629986;0.540033;0.695787;0.157157;0.00639426;0.994314;iters//iter_freqdep_18_8_2017_214820_232447424
1.275;0.75;1;0.02;0.99;0.875;1;0.9;5825;1.33312;1.15295;1.239;0;0.483646;0;0;0.524449;0.339322;0.270907;1.04633;iters//iter_freqdep_18_8_2017_214915_924638522
