phhinit;c;pdhinit;d;v;time;vh_1;vd_1;vd_0;rdd;pdh;rhd;rhh;f_1;f_0;phh;vh_2;file
0.5;0.01;0.5;0.05;0.01;107898;1.00371;0.996608;1.00018;0.000249619;0.780804;0.0017932;0.900938;0.00227107;0.000149789;0.999001;1;./core_0/iter_freqdep_13_9_2016_141705_349131579
0.5;0.01;0.5;0.1;0.01;107222;1.00378;0.996841;1.00035;0.000216298;0.797032;0.00166711;0.815003;0.00226433;0.00012706;0.999001;0.999999;./core_0/iter_freqdep_13_9_2016_141711_528938851
0.5;0.01;0.5;0.2;0.01;109152;1.00394;0.997281;1.00068;0.000164864;0.822483;0.00142987;0.66446;0.00225095;9.38056e-05;0.999002;0.999999;./core_0/iter_freqdep_13_9_2016_141718_249784896
0.5;0.01;0.5;0.5;0.01;101632;1.00441;0.998393;1.00149;9.91706e-05;0.830326;0.000818511;0.33261;0.00230679;5.44408e-05;0.999002;0.999997;./core_0/iter_freqdep_13_9_2016_141723_577284106
0.5;0.01;0.5;1;0.01;87323;1.00503;0.999986;1.0025;-0;0.7068;-0;-0;0.00283537;2.00545e-06;0.999;0.999993;./core_0/iter_freqdep_13_9_2016_141729_264766620
0.5;0.03;0.5;0.05;0.01;257124;1.00331;0.997345;1.00051;0.0141128;0.999002;0.366028;0.54365;0.34273;0.0210758;0.76367;0.999807;./core_0/iter_freqdep_13_9_2016_141733_185148864
0.5;0.03;0.5;0.1;0.01;876045;1.0026;0.997575;1.0002;0.22749;0.999959;0.778249;0.230383;0.65675;0.17179;0.000999313;0.999459;./core_0/iter_freqdep_13_9_2016_141743_762668466
0.5;0.03;0.5;0.2;0.01;379028;1.0027;0.997674;1.0004;0.173948;0.999001;0.680282;0.175201;0.644467;0.178397;2.17804e-05;0.998913;./core_0/iter_freqdep_13_9_2016_141817_120470366
0.5;0.03;0.5;0.5;0.01;426916;1.00307;0.997947;1.00084;0.0812578;0.880164;0.384671;0.0499075;0.589511;0.23737;4.22693e-05;0.997125;./core_0/iter_freqdep_13_9_2016_141832_389466084
0.5;0.03;0.5;1;0.01;59578;1.00336;0.99833;1.00084;-0;0.321048;-0;-0;0.448765;0.437996;0.370124;0.993404;./core_0/iter_freqdep_13_9_2016_141849_444334195
