c;sdmu_h;d;NumGen;v;seed;mu_h;Npatches;runtime;generation;f_0;f_1;f_2;meanphh;meanpdh;varphh;varphd;file
0;0.01;0;100000000000000;0;447291493;0.01;4000;0;302056000000;0.294;0.49225;0.21375;0.26622;0.62251;0.00090007;0.0013809;hpcbatch_09_09_2016_103953/core_0/sim_px_9_9_2016_124519_409698887
0;0.01;0.1;100000000000000;0;471089010;0.01;4000;0;303884000000;0.27375;0.50575;0.2205;0.55217;0.40211;0.0068581;0.0031679;hpcbatch_09_09_2016_103953/core_1/sim_px_9_9_2016_124519_425655096
0;0.01;0.25;100000000000000;0;929988324;0.01;4000;0;305178000000;0.178;0.497;0.325;0.47862;0.69073;0.0015451;0.0013565;hpcbatch_09_09_2016_103953/core_2/sim_px_9_9_2016_124523_891997745
0;0.01;0.5;100000000000000;0;302567692;0.01;4000;0;310291000000;0.2015;0.4925;0.306;0.55699;0.53493;0.00080632;0.0010612;hpcbatch_09_09_2016_103953/core_3/sim_px_9_9_2016_124524_261707968
0;0.01;1;100000000000000;0;969701891;0.01;4000;0;322527000000;0.27925;0.443;0.27775;0.50323;0.49686;0.043424;0.04381;hpcbatch_09_09_2016_103953/core_4/sim_px_9_9_2016_124523_905938546
0;0.01;0;100000000000000;0.05;424349087;0.01;4000;0;322863000000;0.00125;0.06475;0.934;0.96998;0.87837;0.00031246;0.0004574;hpcbatch_09_09_2016_103953/core_5/sim_px_9_9_2016_124524_265244867
0;0.01;0.1;100000000000000;0.05;362046481;0.01;4000;0;320757000000;0.00175;0.06425;0.934;0.97907;0.57662;0.00037814;0.00048104;hpcbatch_09_09_2016_103953/core_6/sim_px_9_9_2016_124523_339701248
0;0.01;0.25;100000000000000;0.05;717498549;0.01;4000;0;324889000000;0.00025;0.04625;0.9535;0.97671;0.89715;0.00040877;0.00065353;hpcbatch_09_09_2016_103953/core_7/sim_px_9_9_2016_124523_364283093
0;0.01;0.5;100000000000000;0.05;303703447;0.01;4000;0;329168000000;0.0035;0.068;0.9285;0.96911;0.81745;0.00075385;0.00033211;hpcbatch_09_09_2016_103953/core_8/sim_px_9_9_2016_124523_273992620
0;0.01;1;100000000000000;0.05;990068564;0.01;4000;0;329353000000;0.26825;0.44025;0.2915;0.50765;0.50049;0.042786;0.042266;hpcbatch_09_09_2016_103953/core_9/sim_px_9_9_2016_124523_905952328
