c;sdmu_h;numgen;v;N;seed;init_pD;mu_h;init_pH;runtime;generation;meanpH;meanpD;varpH;varpD;freq_hawk;file
5;0.02;40000;1;5000;861037473;0.5;0.01;0.9;0;40000;0.26329;0.79647;0.0048618;0.0053466;0.2136;./hpcbatch_16_08_2017_230103/core_225/sim_hd_17_8_2017_102358_860668696
5;0.02;40000;1;5000;605224304;0.5;0.01;0.4;0;40000;0.28325;0.79664;0.0054322;0.0042863;0.2052;./hpcbatch_16_08_2017_230103/core_170/sim_hd_17_8_2017_100400_604923321
3;0.02;40000;1;5000;592647436;0.4;0.01;0.8;0;40000;0.41573;0.70377;0.010442;0.018795;0.3354;./hpcbatch_16_08_2017_230103/core_92/sim_hd_17_8_2017_091528_592358808
3;0.02;40000;1;5000;669756541;0.2;0.01;0.8;0;40000;0.38771;0.7088;0.0085996;0.013803;0.3116;./hpcbatch_16_08_2017_230103/core_90/sim_hd_17_8_2017_091458_669392469
3;0.02;40000;1;5000;552031724;0.1;0.01;1;0;40000;0.22588;0.50954;0.0039549;0.12819;0.325;./hpcbatch_16_08_2017_230103/core_111/sim_hd_17_8_2017_092058_551650605
5;0.02;40000;1;5000;671242158;0.1;0.01;0.5;0;40000;0.32254;0.81043;0.0065373;0.0068105;0.2164;./hpcbatch_16_08_2017_230103/core_177/sim_hd_17_8_2017_101030_670895045
3;0.02;40000;1;5000;579563003;1;0.01;0.2;0;40000;0.57724;0.74984;0.013647;0.023589;0.3486;./hpcbatch_16_08_2017_230103/core_32/sim_hd_17_8_2017_082643_579266416
3;0.02;40000;1;5000;786946729;0.7;0.01;0.4;0;40000;0.21864;0.64754;0.0050305;0.0040675;0.3052;./hpcbatch_16_08_2017_230103/core_51/sim_hd_17_8_2017_083058_786596671
5;0.02;40000;1;5000;663606358;0.7;0.01;0.6;0;40000;0.18405;0.77619;0.0021819;0.0027638;0.2234;./hpcbatch_16_08_2017_230103/core_194/sim_hd_17_8_2017_101445_663266276
3;0.02;40000;1;5000;772484347;0.7;0.01;0.6;0;40000;0.38124;0.6956;0.0047717;0.0033071;0.3298;./hpcbatch_16_08_2017_230103/core_73/sim_hd_17_8_2017_083843_772139313
5;0.02;40000;1;5000;542036081;0.4;0.01;0.7;0;40000;0.15052;0.77732;0.0064693;0.0019087;0.2104;./hpcbatch_16_08_2017_230103/core_202/sim_hd_17_8_2017_101658_541685610
5;0.02;40000;1;5000;692891752;0.6;0.01;0.8;0;40000;0.41068;0.86015;0.0083715;0.0070772;0.1976;./hpcbatch_16_08_2017_230103/core_215/sim_hd_17_8_2017_102128_692542429
3;0.02;40000;1;5000;585988517;0.6;0.01;0.6;0;40000;0.2217;0.58678;0.0057428;0.0063737;0.3408;./hpcbatch_16_08_2017_230103/core_72/sim_hd_17_8_2017_083828_585688961
3;0.02;40000;1;5000;683753279;0.9;0.01;0;0;40000;0.47631;0.73602;0.0078827;0.013188;0.3242;./hpcbatch_16_08_2017_230103/core_9/sim_hd_17_8_2017_082013_683359734
3;0.02;40000;1;5000;832015663;0.2;0.01;0.6;0;40000;0.21997;0.57845;0.025036;0.037192;0.316;./hpcbatch_16_08_2017_230103/core_68/sim_hd_17_8_2017_083658_831707361
